Question,Answer
Заработная плата | отпуск | Сумма отпускных | Как рассчитывается сумма отпускных? |  |  | оплата отпуска | расчет отпускных | сумма отпускных,"Дни отпуска работникам рассчитываются по среднему дневному заработку.

оплата отпуска производится не позднее чем за три дня до его начала. отпускные работникам считают по среднему дневному заработку. при расчете нужно руководствоваться:
- статьей 139 трудового кодекса;
- особенностями порядка исчисления средней заработной платы, утвержденными постановлением правительства рф от 24.12.2007 n 922.
  "
"Заработная плата | преданность | Что такое ""преданность""? | Кому положена преданность? |  |  | преданность | выслуга | ","В оао «ржд» за непрерывную продолжительную работу в компании выплачивается единовременное вознаграждение за преданность компании.
 Подробнее о размерах единовременного вознаграждения В оао «ржд» за непрерывную продолжительную работу в компании выплачивается единовременное вознаграждение за преданность компании. вознаграждение выплачивается в следующих размерах:
- 2 месячные тарифные ставки (должностных оклада) - 
при непрерывной продолжительности работы 3 года;
- 3 месячные тарифные ставки (должностных оклада) - 
при непрерывной продолжительности работы 5 лет;
- 4 месячные тарифные ставки (должностных оклада) - 
при непрерывной продолжительности работы 10 лет;
- 5 месячных тарифных ставок (должностных оклада) - 
при непрерывной продолжительности работы 15 лет и далее через каждые 5 лет непрерывной работы.
"
"Оплата труда | Начисление заработной платы | Кому выплачиваются компенсации за разъездной характер работы? | Мне положены суточные, если направляют в командировку? |  | Кому выплачиваются суточные? | категории работников, кому выплачиваются суточные |  | ","В соответствии положением о возмещении расходов, связанных 
со служебными поездками работников филиалов оао «ржд», постоянная работа которых осуществляется в пути следования железнодорожного подвижного состава или имеет разъездной характер, утвержденным распоряжением № 2343р от 31 октября 2011 г., устанавливаются компенсационные выплаты (суточные) для возмещения дополнительных расходов, связанных с проживанием вне места постоянного жительства, и расходов на питание в служебных поездках следующим работникам: 
- постоянная работа, которых осуществляется в пути следования железнодорожного подвижного состава (это обслуживание вагонов, поездов, рефсекций, а также локомотивные бригады);
- постоянная работа которых имеет разъездной характер, 
т.е. выполняющим работу на линии вне места расположения структурного подразделения или постоянного пункта сбора; 
- или выполняющим работы на отдаленных объектах, когда нет возможности ежедневно возвращаться к месту жительства.
перечень профессий и должностей работников, которым выплачиваются суточные, устанавливает руководитель филиала оао «ржд» с учётом мнения профсоюза. 

 Подробнее Суточные выплачиваются:
- за каждые сутки нахождения в поездке при выполнении работы в пути следования железнодорожного состава, при этом время в поездке 12 и более часов, но менее полных суток, учитывается как одни сутки; 
- за каждую поездку туда и обратно продолжительностью не менее
7 часов работникам локомотивных бригад при работе с пассажирскими поездами;
- за каждую поездку туда и обратно работникам локомотивных бригад при работе с грузовыми (кроме передаточных и вывозных) и пригородных поездами:
- продолжительностью не менее 7 часов - в одинарном размере;
- продолжительностью не менее 12 часов при работе не менее чем
на 3 участках обслуживания локомотивных бригад с предоставлением второго отдыха в пункте оборота (подмены) - в двойном размере. 
работающим на отдаленных объектах, когда нет возможности ежедневно возвращаться к месту жительства, суточные выплачиваются за каждые сутки нахождения на таких объектах.
выполняющим работу на линии вне места расположения структурного подразделения или постоянного пункта сбора суточные выплачиваются за каждую поездку, если проезд от места расположения структурного подразделения или постоянного пункта сбора до места выполнения работы и обратно осуществляется в нерабочее время и превышает два часа. если проезд к месту работы и обратно осуществляется в рабочее время, в пределах графика, либо служебные поездки совершаются 
в пределах железнодорожного узла или станции, суточные за такую поездку не выплачиваются.
размер суточных с 1 февраля 2024 г. составляет 309,05 руб., индексируется одновременно с заработной платой."
Оплата труда | Начисление заработной платы | В каком размере выплачиваются компенсации за разъездной характер работы? |  |  | Что мне оплатят в командировке? | размер суточных |  | ,"В соответствии положением о возмещении расходов, связанных 
со служебными поездками работников филиалов оао «ржд», постоянная работа которых осуществляется в пути следования железнодорожного подвижного состава или имеет разъездной характер, утвержденным распоряжением № 2343р от 31 октября 2011 г., устанавливаются компенсационные выплаты (суточные) для возмещения дополнительных расходов, связанных с проживанием вне места постоянного жительства, и расходов на питание в служебных поездках в размере 322 руб. ( с 1 марта 2024 г), индексируется одновременно с заработной платой. Подробнее Перечень профессий и должностей работников, которым выплачиваются суточные, устанавливает руководитель филиала оао «ржд» с учётом мнения профсоюза. 

суточные выплачиваются:
- за каждые сутки нахождения в поездке при выполнении работы в пути следования железнодорожного состава, при этом время в поездке 12 и более часов, но менее полных суток, учитывается как одни сутки; 
- за каждую поездку туда и обратно продолжительностью не менее
7 часов работникам локомотивных бригад при работе с пассажирскими поездами;
- за каждую поездку туда и обратно работникам локомотивных бригад при работе с грузовыми (кроме передаточных и вывозных) и пригородных поездами:
- продолжительностью не менее 7 часов - в одинарном размере;
- продолжительностью не менее 12 часов при работе не менее чем
на 3 участках обслуживания локомотивных бригад с предоставлением второго отдыха в пункте оборота (подмены) - в двойном размере. 
работающим на отдаленных объектах, когда нет возможности ежедневно возвращаться к месту жительства, суточные выплачиваются за каждые сутки нахождения на таких объектах.
выполняющим работу на линии вне места расположения структурного подразделения или постоянного пункта сбора суточные выплачиваются за каждую поездку, если проезд от места расположения структурного подразделения или постоянного пункта сбора до места выполнения работы и обратно осуществляется в нерабочее время и превышает два часа. если проезд к месту работы и обратно осуществляется в рабочее время, в пределах графика, либо служебные поездки совершаются 
в пределах железнодорожного узла или станции, суточные за такую поездку не выплачиваются.
размер суточных с 1 марта 2024 г. составляет 322 руб., индексируется одновременно с заработной платой."
"Оплата труда | Оплата Сверхурочной работы | Как оплачивается работа по графику в нерабочий праздничный день? | Сколько заплатят, если работаю в праздник? |  | правила оплаты работы по официальным праздникам |  |  | ","Согласно положению о корпоративной системе оплаты труда работников филиалов и структурных подразделений оао «ржд» работа в нерабочий праздничный день, предусмотренный графиком работника, оплачивается в двойном размере: сдельщикам - по двойным сдельным расценкам; работникам, труд которых оплачивается по часовым тарифным ставкам, - в размере двойной часовой тарифной ставки; работникам, получающим оклад, - в размере одинарной доли оклада за час работы сверх оклада.   "
Оплата труда | Начисление заработной платы | Учитываются ли районные коэффициенты при начислении заработной платы работников ОАО «РЖД»? | Какие районные коэффициенты применяются в компании? |  | Применяются ли в компании районные коэффициенты при расчете заработной платы? | размер районных коэффициентов в компании |  | ,"К заработной плате работников оао «ржд» в обязательном порядке применяются районные коэффициенты, установленные федеральным законодательством (статьи 315, 316 и 317 тк рф). 
согласно пункту 6.4 положения о корпоративной системе оплаты труда работников филиалов и структурных подразделений оао «ржд» в тех регионах расположения железных дорог, в которых субъектами рф установлены повышенные по сравнению с установленными правительством российской федерации размеры районных коэффициентов, - к заработной плате работников железных дорог могут применяться более высокие размеры районных коэффициентов. 
решение о применении повышенных районных коэффициентов, установленных субъектами рф, принимается начальником железной дороги. если применение повышенных районных коэффициентов, установленных субъектами рф, предусмотрено нормативным документом железной дороги, руководителем филиала оао «ржд» устанавливаются аналогичные размеры районных коэффициентов для работников подразделений филиала, осуществляющих свою деятельность в границах соответствующей железной дороги.
  "
Оплата труда | Начисление заработной платы | Кому положена доплата за вредные условия труда? | Кому в компании компенсируют работу при вредных условиях работы? |  | Как учитываются вредные условия работы при оплате труда? | если работаю во вредных условиях труда доплатят? |  | ,"По условиям труда рабочие места делятся на четыре класса: первый – это оптимальные, второй - допустимые, третий класс - вредные и четвёртый класс - опасные условия труда. уровень вреда и опасности определяется по результатам специальной оценки условий труда. работодатель обязан ознакомить сотрудника с результатом проведённой на его рабочем месте специальной оценки условий труда. в карте специальной оценки есть графа, где работник должен поставить свою подпись. в компании компенсации в виде доплат, дополнительного оплачиваемого отпуска и сокращённого рабочего дня предоставляются работникам, начиная с третьего класса условий труда.
доплата за вредные условия труда устанавливается, начиная с класса 3.1, дополнительный отпуск – с класса 3.2 и сокращённый рабочий день с класса 3.3.
виды и размеры компенсаций работникам, занятым на работах с вредными условиями труда, указываются в трудовом договоре и правилах внутреннего трудового распорядка структурного подразделения. Показать размер доплат По результатам специальной оценки условий труда в соответствии с установленным в оао «ржд» порядком работникам устанавливаются доплаты в размере:
- 4% тарифной ставки (должностного оклада) – при вредных условиях труда 1 и 2 степени (класс 3.1 и 3.2);
- 6% при вредных условиях труда 3 степени (класс 3.3);
- 10% при вредных условиях труда 4 степени (класс 3.4); 
- 12% при опасных условиях труда (класс 4)."
"Оплата труда | Начисление заработной платы | Какие доплаты предусмотрены персоналу компании, работающему на территории БАМ? |  |  |  | доплаты за работу на БАМ | Размер доплаты за работу на БАМ | ","В целях привлечения и сохранения персонала на предприятиях на территории байкало-амурской магистрали, с 1 января 2019 г. выплачивается ежемесячная стимулирующая надбавка в размере 10% оклада (тарифной ставки) работникам подразделений оао «ржд», расположенных на следующих участках байкало-амурской магистрали:
от станции лена, включая станцию, до станции комсомольск-на-амуре, исключая станцию;
от станции штурм до станции нерюнгри-грузовая, включая обе станции;
от станции известковая, исключая станцию, до станции чегдомын, включая станцию.

кроме того, этим работникам через каждые 5 лет работы выплачивается единовременное вознаграждение за стаж работы в районе бама в размере 1,5 оклада (месячной тарифной ставки).  "
Заработная плата | расчет | Как разобраться в заработной квитанции? | Кто поможет разобраться в расчетке | К кому обратиться по расчетке? |  | вопросы по расчетке |  | ,"Ознакомиться с расчетным листком можно на сервисном портале работника оао «ржд». в случая наличия вопросов можно обратитесь к специалисту вашего подразделения, в введении которого находятся вопросы организации и оплаты труда.  "
"Заработная плата | сверхурочная работа | Как оплачиваются дни, когда меня направляют в выходные и праздничные дни в командировку? | Если направляют на работу в выходные - как оплатят? | Мне оплатят работу в выходные? |  |  |  | ","За работником в период командировки сохраняется средний заработок - за все дни работы по графику, установленному в командирующей организации (п.9 положения об особенностях направления работников в служебные командировки, утвержденного постановлением правительства рф от 13.10.2008 г. № 749). оплата труда работника в случае привлечения его в период командировки к работе в выходные или нерабочие праздничные дни производится в соответствии с трудовым законодательством рф (п.5 вышеуказанного положения), т.е. точно так же, как и в случае работы в выходной день по основному месту работы работника. согласно ст.153 трудового кодекса рф работа в выходные или нерабочие праздничные дни оплачивается не менее чем в двойном размере, в оао «ржд» - в размере двойной часовой тарифной ставки (части оклада). по желанию работника, работавшего в выходной или нерабочий праздничный день, ему может быть предоставлен другой день отдыха (полный рабочий день (смена) по графику работы конкретного работника). в этом случае день отдыха оплате не подлежит, работа в выходной день оплачивается в одинарном размере. для работников, работавших в нерабочий праздничный день, в компании предусмотрены более высокие по сравнению с трудовым законодательством гарантии: работа в нерабочий праздничный день во всех случаях (независимо от предоставления или не предоставления дополнительного дня отдыха) оплачивается в двойном размере, другой день отдыха в случае его предоставления оплате не подлежит.  "
Заработная плата | срок выплаты | Когда будет зарплата |  | Сроки выплаты заработной платы? |  | когда будет зп | сроки зарплаты | ,"Заработная плата выплачивается не реже, чем каждые полмесяца. конкретная дата выплаты заработной платы устанавливается правилами внутреннего трудового распорядка подразделения.
 Подробнее о сроках выплаты заработной платы Заработная плата выплачивается не реже, чем каждые полмесяца. конкретная дата выплаты заработной платы устанавливается правилами внутреннего трудового распорядка. выплата заработной платы за первую половину месяца производится в размере 50% тарифной ставки (оклада) с учетом отработанного времени. минимальный размер указанной выплаты должен быть не ниже тарифной ставки (оклада) за отработанное время. в районах крайнего севера и приравненных к ним местностях, а также в местностях, где в соответствии с законодательством 
российской федерации и локальными нормативными актами компании (филиалов компании) установлены районные коэффициенты к заработной плате, выплату заработной платы за первую половину месяца производить с учетом установленных процентных надбавок и районных коэффициентов. с 1 января 2023 года перечисление работникам «аванса» за январь 2023 года (в последующие месяцы) с данной выплаты будет произведено удержание ндфл, в связи с чем сумма, которую получит работник, будет уменьшена на размер произведенных удержаний.
"
Организация работы | график работы | Можно ли изменить рабочий график в пределах 15-30 минут по заявлению? | Как изменить график рабочего времени? | Есть ли возможность индивидуального графика работы? |  | изменения графика рабочего времени |  | ,"Согласно ст. 72 тк рф изменение определенных сторонами условий трудового договора, в том числе режима рабочего времени, допускается по соглашению сторон трудового договора. 

изменение режима рабочего времени по заявлению работника возможно при согласии работодателя. соглашение об изменении определенных сторонами условий трудового договора заключается в письменной форме.  "
Организация работы | график работы | Есть возможность внести удаленку или плавный график работы? |  |  | Как могу перейти на дистанционный режим работы? | дистанционный режим работы | удаленка | ,"Дистанционная работа устанавливается  работодателем для выполнения трудовой функции, передачи результатов работы и отчетов о выполненной работе по запросам работодателя с использованием информационных систем, серверного оборудования и программных средств оао «ржд».

такая работа устанавливается в соответствии с требованиями трудового кодекса рф: 
1) по согласованию между работником и работодателем  на постоянной основе  и временно;
2) по инициативе работодателя в исключительных случаях, временно, на период действия обстоятельств, предусмотренных статьей 312.9 тк рф.

что касается гибкого режима работы работы, то  его установление работнику  возможно как по  инициативе работника, так и по инициативе работодателя. любой работник может обратиться к работодателю с соответствующим заявлением. но решение о предоставлении работнику режима гибкого рабочего времени принимает работодатель.

существует ряд объективных причин, почему это не возможно. 
 предоставление работнику режима гибкого рабочего времени это право, а не обязанность работодателя.  "
"Организация работы | правила внутреннего трудового распорядка, ПВТР, режим работы | Режим работы | Где посмотреть режим работы? | Где есть информация про режим работы? | В каком документе указан режим работы? |  |  | ","Режимы работы  регламентируются правилами внутреннего трудового распорядка  (далее - пвтр) подразделения. пвтр разрабатывается с учетом трудового кодекса рф, особенностей режима рабочего времени и времени отдыха, условий труда отдельных категорий работников железнодорожного транспорта общего пользования, работа которых непосредственно связана с движением поездов (приказ минтранса россии от 11.10.2021 №339), коллективного договора и др локально-нормативных документов оао «ржд». Подробнее про правила внутреннего трудового распорядка и режимы рабочего времени Пвтр состоит из разделов: 
общие положения
порядок приема, перевода и увольнения работников, 
основные права и обязанности работников, 
основные права и обязанности работодателя, 
рабочее время, 
время отдыха, 
оплата труда, 
поощрение за труд, 
дисциплинарная ответственность работников.                                                                      
режимы рабочего времени бывают: 
- пятидневная рабочая неделя с двумя выходными днями, 
- шестидневная рабочая неделя с одним выходным днем, 
- рабочая неделя с предоставлением выходных дней по скользящему графику, 
- неполная рабочая неделя;
- работа с ненормированным рабочим днем;
- режим рабочего времени, отличающийся от общих правил, установленных у данного работодателя (устанавливается трудовым договором). например, режим гибкого рабочего времени и др.
"
Режим труда и отдыха | организация труда | Какой график работы! | Где посмотреть график рабочего времени? |  | Каким документом регламентируется график работы? | Какие графики работы есть? |  | ," в правилах внутреннего трудового распорядка структурного подразделения в качестве приложения должен быть график для каждой должности (профессии).  график составляется с учетом мотивированного мнения представительного органа работников и утверждается руководителем структурного подразделения. работники должны быть ознакомлены с графиком рабочего времени под роспись не менее, чем за месяц до введения его в действие. график рабочего времени зависит от режима работы.   в соответствии со статьей 100 трудового кодекса российской федерации режимы работы бывают: 
- пятидневная рабочая неделя с двумя выходными днями, 
- шестидневная рабочая неделя с одним выходным днем, 
- рабочая неделя с предоставлением выходных дней по скользящему графику, 
- неполная рабочая неделя;
- работа с ненормированным рабочим днем;
- режим рабочего времени, отличающийся от общих правил, установленных у данного работодателя, установленный трудовым договором (например, режим гибкого рабочего времени и др).    "
Организация работы | работа в ночь | Как часто вызывают на работы в ночное время суток? | Могут ли заставить работать ночью? |  |  | работа в ночное время условия |  | ,"Работа в ночное время,  как правило, осуществляется при сменном режиме рабочего времени, а также работниками локомотивных бригад, работа которых организована по вызывной и без вызывной  системе. график рабочего времени предусматривает (например 4-х сменный) режим работы (с дневными и ночными сменами).  ночным временем считается время с 22 до 6 часов.  работа более двух смен подряд в период ночного времени не допускается. за исключением  работников, занятых ремонтом и техническим обслуживанием железнодорожных линий (участков инфраструктуры) преимущественно в ночное время. перечень  железнодорожных линий (участков инфраструктуры) на которых организована работа преимущественно в ночное время суток, утверждается локальным актом работодателя. к работе в ночное время в соответствие со ст. 96 тк рф отдельные лица не допускаются. помимо смен, установленных графиком, работник может привлекаться (в исключительных случаях) к работе в выходные, нерабочие праздничные дни  и сверхурочно (часы таких смен могут приходятся на ночные смены). 
порядок  привлечения к работе сверх установленного времени регламентируется трудовым кодексом рф.  "
Оплата труда | Начисление заработной платы | Как оплачиваются ночные смены? |  |  |  | % за работу в ночь | зп за работу в ночь | ,Ночным временем считается время с 22 часов до 6 часов. за работу в ночное время работникам оао «ржд» осуществляется доплата в размере 40% часовой тарифной ставки (оклада) за каждый час работы в ночное время.   
Организация работы | режим работы | Нормированный или нет рабочий день | Что такое ненормированный рабочий день? | Что за режим работы - ненормированный рабочий день? | Условия работы при ненормированном рабочем дне |  |  | ,"Согласно трудовому кодексу рф нормальная продолжительность рабочего времени не может превышать 40 часов в неделю.

согласно статье 101 трудового кодекса рф ненормированный рабочий день - особый режим работы, в соответствии с которым отдельные работники могут по распоряжению работодателя при необходимости эпизодически привлекаться к выполнению своих трудовых функций за пределами, установленной для них продолжительности рабочего времени.

в оао «ржд» разработан примерный перечень профессий и должностей работников филиалов с ненормированным рабочим днем с указанием продолжительности дополнительных оплачиваемых отпусков. 
на основании этого перечня филиалы утверждают локальные нормативные акты (приказы, приложения к правилам внутреннего трудового распорядка), содержащие перечни профессий и должностей работников с ненормированным рабочим днем.   "
"Организация работы | сверхурочная работа | Переработки | Порядок оплаты переработки? | Что получу, если отработал сверх нормы рабочих часов? | Как оплачивается работа сверх нормы рабочего времени? |  |  | ","Согласно ст. 99 тк рф сверхурочная работа – это работа, выполняемая работником по инициативе работодателя за пределами установленной для работника продолжительности рабочего времени: ежедневной работы (смены), а при суммированном учете рабочего времени - сверх нормального числа рабочих часов за учетный период.

в соответствии с корпоративной системой оплаты труда работников оао «ржд», сверхурочная работа оплачивается за первые два часа работы в полуторном размере, за последующие часы - в двойном размере.
 по желанию работника сверхурочная работа вместо повышенной оплаты может компенсироваться предоставлением дополнительного времени отдыха, но не менее времени, отработанного сверхурочно.   "
"Организация работы | дисциплинарное взыскание, депремирование | Какие есть системы наказания на жд | За что могут снизить зарплату? | Как могут лишить зарплаты? |  | за что могут наказать | дисциплинарка | ","Работник может быть привлечен к дисциплинарной и материальной (согласно главе 39 тк рф) ответственности, а также может быть лишен премии полностью или частично за допущенные нарушения согласно положениям о премировании подразделений оао «ржд».

в оао «ржд» применяются виды дисциплинарных взысканий, установленные ст. 192 тк рф:
1) замечание;
2) выговор;
3) увольнение по соответствующим основаниям.  "
Организация работы |  увольнение | Каковы шансы на увольнение в случае допущения ошибок в работе по незнанию? | Может ли работодатель уволить работника за невыполнение поставленных задач? |  |  |  |  | ,"Согласно ст. 68 тк рф при приеме на работу (до подписания трудового договора) работодатель обязан ознакомить работника под роспись с правилами внутреннего трудового распорядка, иными локальными нормативными актами, непосредственно связанными с трудовой деятельностью работника, коллективным договором. соответственно, требовать от работника выполнения установленных в указанных документах требований работодатель может только после ознакомления работника с их содержанием.

в то же время незнание работниками требований законодательства, иных документов в пределах круга их должностных обязанностей и выполняемой работы не снимает с них ответственности за допущенные нарушения. в данном случае речь будет идти о неисполнении или ненадлежащем исполнении работником по его вине возложенных на него обязанностей в части знания определенных норм и требований для выполнения трудовых обязанностей.

согласно п. 5 ч. 1 ст. 81 тк рф трудовой договор может быть расторгнут работодателем в случае неоднократного неисполнения работником без уважительных причин трудовых обязанностей, если он имеет дисциплинарное взыскание.

в соответствии с п. 5 ч. 1 ст. 81 тк рф если работник должным образом не выполнил трудовые обязанности, он может быть уволен при наличии действующего дисциплинарного взыскания (в течение года со дня применения предыдущего дисциплинарного взыскания - ст. 194 тк рф).

также работник может быть уволен в случае однократного грубого нарушения работником трудовых обязанностей - установленного комиссией по охране труда или уполномоченным по охране труда нарушения работником требований охраны труда, если это нарушение повлекло за собой тяжкие последствия (несчастный случай на производстве, авария, катастрофа) либо заведомо создавало реальную угрозу наступления таких последствий (пп. ""д"" п. 6 ч. 1 ст. 81 тк рф).  "
"Организация работы | Внутритранспортный перевод | Имеют ли право при желании сотрудника, не дать перевод на другую жд |  | Правила внутритранспортного перевода | Могу перейти работать в другое подразделение без увольнения из компании? |  |  | ","Согласно ст. 72 тк рф изменение определенных сторонами условий трудового договора, в том числе структурного подразделения, в котором работает работник, допускается по соглашению сторон трудового договора. 

изменение структурного подразделения, в котором работает работник, по заявлению работника возможно при согласии работодателя. соглашение об изменении определенных сторонами условий трудового договора заключается в письменной форме.  "
"Организация работы | должности для женщин | Какие должности могут занимать женщины на железнодорожном транспорте? | Есть ли должности на жд,, на которых женщинам работать запрещено? | условия работы на железнодорожном транспорте для женщин |  |  |  | ","Женщины могут занимать любые должности (профессии) кроме указанных в приказе минтруда россии от 18.07.2019 № 512н 
""об утверждении перечня производств, работ и должностей с вредными и (или) опасными условиями труда, на которых ограничивается применение труда женщин""  Подробнее Согласно приказу минтруда россии от 18.07.2019 № 512н 
""об утверждении перечня производств, работ и должностей с вредными и (или) опасными условиями труда, на которых ограничивается применение труда женщин"" женщины не могут выполнять следующие работы на железнодорожном транспорте:
работы по ремонту и техническому обслуживанию объектов инфраструктуры, контактной сети электрифицированных железных дорог и железнодорожного подвижного состава, связанные с поднятием и перемещением тяжестей вручную более установленных норм;
маневровые работы по расформированию-формированию составов, регулированию скорости движения вагонов путем торможения их тормозными башмаками, связанные с поднятием и перемещением тяжестей вручную более установленных норм;
работы по очистке и пропарке внутренних поверхностей железнодорожных цистерн из-под нефтепродуктов и ядохимикатов; 
работы по управлению железнодорожными строительными машинами, тяговым, моторвагонным и специальным самоходным подвижным составом, связанные с превышением предельно допустимых концентраций вредных химических веществ и предельно допустимого уровня общей вибрации;
работы, связанные с подъемом и перемещением тяжестей вручную независимо от видов должностей.
"
Организация работы | командировки | Возможность командировок | Как часто отправляют в командировки? |  |  | максимальная продолжительность командировок |  | ,"Согласно ст. 166 тк рф служебная командировка - поездка работника по распоряжению работодателя на определенный срок для выполнения служебного поручения вне места постоянной работы. служебная командировка оформляется приказом работодателя.

согласно п. 5.28. коллективного договора оао «ржд» на 2023-2025 годы работодатель может направлять работника в служебные командировки продолжительностью более 40 календарных дней подряд только с его личного согласия, выраженного в письменной форме.
перерыв между служебной командировкой продолжительностью более 40 календарных дней подряд и следующей служебной командировкой должен составлять не менее 10 календарных дней. этот период может быть сокращен только с личного согласия работника, выраженного в письменной форме.

приказы о направлении работника в командировку, о сокращении срока командировки, о продлении срока командировки, об отмене направления в командировку работников, являющихся участниками электронного документооборота в сфере трудовых отношений в оао «ржд», направляются посредством сервисного портала работника, руководителя и неработающего пенсионера оао «ржд».  "
Оплата труда | Командировочные и суточные | Как оплачивается работа в выходные дни в командировке? |  |  | Порядок оплаты работы в выходной день в командировке |  |  | ,"За работником в период командировки сохраняется средний заработок - за все дни работы по графику, установленному в командирующей организации (п.9 положения об особенностях направления работников в служебные командировки, утвержденного постановлением правительства рф от 13.10.2008 г. № 749). оплата труда работника в случае привлечения его в период командировки к работе в выходные или нерабочие праздничные дни производится в соответствии с трудовым законодательством рф (п.5 вышеуказанного положения), т.е. точно так же, как и в случае работы в выходной день по основному месту работы работника. согласно ст.153 трудового кодекса рф работа в выходные или нерабочие праздничные дни оплачивается не менее чем в двойном размере, в оао «ржд» - в размере двойной часовой тарифной ставки (части оклада). по желанию работника, работавшего в выходной или нерабочий праздничный день, ему может быть предоставлен другой день отдыха (полный рабочий день (смена) по графику работы конкретного работника). в этом случае день отдыха оплате не подлежит, работа в выходной день оплачивается в одинарном размере. для работников, работавших в нерабочий праздничный день, в компании предусмотрены более высокие по сравнению с трудовым законодательством гарантии: работа в нерабочий праздничный день во всех случаях (независимо от предоставления или не предоставления дополнительного дня отдыха) оплачивается в двойном размере, другой день отдыха в случае его предоставления оплате не подлежит.  "
Оплата труда | Командировочные и суточные | Каков размер суточных в командировке для работников локомотивных бригад? | Сколько заплатят за работу в командировке помощнику машиниста? |  |  | размер суточных в командировке для лок бригад |  | ,"Согласно положению о порядке и размерах возмещения командировочных расходов, выдачи подотчетных денежных средств, представления авансовых отчетов о командировочных и хозяйственных расходах работников филиалов и других структурных подразделений оао «ржд» (распоряжение от 7 ноября 2006 г. № 2193р) расходы на выплату суточных с 01.03.2024 г. составляют:
- работникам филиалов и других структурных подразделений 
оао «ржд» - 322 руб. за каждый день нахождения в командировке;
- машинистам локомотивов и помощникам машинистов локомотивов при работе с пассажирскими и пригородными поездами в поездках туда и обратно продолжительностью не менее 7 ч. - 631 руб. за каждый день нахождения в командировке;
- машинистам локомотивов и помощникам машинистов локомотивов при работе с грузовыми (кроме передаточных и вывозных) поездами:
в поездках туда и обратно продолжительностью не менее 7 ч. -  631 руб. за каждый день нахождения в командировке;
- в поездках туда и обратно продолжительностью не менее 12 ч. при работе не менее чем на 3 участках обслуживания с предоставлением второго отдыха в пункте оборота (подмены) - 940 руб. за каждый день нахождения в командировке.  "
